date,time,.00,TotalAcc,RInt
07/20/2023,04:09:04,0.00,0.00,12.01,0.00
07/20/2023,04:09:04,0.00,0.00,12.01,0.00
07/20/2023,04:10:04,0.00,0.00,12.01,0.00
07/20/2023,04:10:04,0.00,0.00,12.01,0.00
07/20/2023,04:11:04,0.00,0.00,12.01,0.00
07/20/2023,04:11:04,0.00,0.00,12.01,0.00
07/20/2023,04:12:03,0.00,0.00,12.01,0.00
07/20/2023,04:12:03,0.00,0.00,12.01,0.00
07/20/2023,04:12:03,0.00,0.00,12.01,0.00
07/20/2023,04:13:03,0.00,0.00,12.01,0.00
07/20/2023,04:13:04,0.00,0.00,12.01,0.00
07/20/2023,04:13:04,0.00,0.00,12.01,0.00
07/20/2023,04:14:03,0.00,0.00,12.01,0.00
07/20/2023,04:14:03,0.00,0.00,12.01,0.00
07/20/2023,04:14:04,0.00,0.00,12.01,0.00
07/20/2023,04:15:04,0.00,0.00,12.01,0.00
07/20/2023,04:15:04,0.00,0.00,12.01,0.00
07/20/2023,04:25:04,0.00,0.00,12.01,0.00
07/20/2023,04:26:03,0.00,0.00,mm,0.00
07/20/2023,04:26:03,0.00,0.00,12.01,0.00
07/20/2023,04:26:03,0.00,0.00,12.01,0.00
07/20/2023,04:27:04,0.00,0.00,12.01,0.00
